title	year	rank	watched
Fried Green Tomatoes 	1991	-99	1
Friends With Benefits		-99	1
From Dusk Till Dawn		-99	1
Full Metal Jacket		-99	1
Fun with Dick and Jane		-99	1
Funny People		-99	1
Fury 	2014	-99	1
Gandhi		-99	1
Gangs of New York		-99	1
Gangster Squad		-99	1
Garden State		-99	1
Genius 	2016	-99	1
Gerry		-99	1
Get Hard		-99	1
Get Him To The Greek		-99	1
Get Rich or Die Tryin'		-99	1
Get Shorty		-99	1
Get Smart		-99	1
Ghost 	1990	-99	1
Ghostbusters II		-99	1
Ghostbusters		-99	1
Girl, Interrupted		-99	1
Gladiator		-99	1
Glengarry Glen Ross 	1992	-99	1
Glory		-99	1
God's Pocket		-99	1
Godzilla 	1998	-99	1
Going Clear 		-99	1
Going the Distance		-99	1
Gone Girl 	2014	-99	1
Gone in 60 Seconds		-99	1
Good Kill		-99	1
Good Time Max		-99	1
Good Will Hunting		-99	1
Goodfellas		-99	1
Good Night, and Good Luck.		-99	1
Gran Torino		-99	1
Dead Poets Society		-99	1
Die Hard 2		-99	1
Dope		-99	1
Exit Through The Gift Shop		-99	1
Fish Tank		-99	1
Frank		-99	1
Glory Road		-99	1
Grandma's Boy		-99	1
Happy Gilmore		-99	1
Hitman		-99	1
Howl		-99	1
Inside Man		-99	1
Jackie 	2016	-99	1
Great Balls Of Fire!		-99	1
Green Lantern		-99	1
Green Street Hooligans		-99	1
Planet Terror		-99	1
Death Proof		-99	1
Groundhog Day		-99	1
Guess Who		-99	1
Gummo		-99	0
Hackers		-99	1
Hacksaw Ridge 	2016	-99	1
Hail Caesar 	2016	-99	1
Hall Pass		-99	1
Hancock		-99	1
Hannibal 	2001	-99	1
Happiness		-99	1
Harry Brown		-99	0
Harry Potter and the Chamber of Secrets 	2002	-99	1
Harry Potter and the Deathly Hallows - Part 1 	2010	-99	1
Harry Potter and the Deathly Hallows - Part 2 	2011	-99	1
Harry Potter and the Goblet of Fire 	2005	-99	1
Harry Potter and the Half-Blood Prince 	2009	-99	1
Harry Potter and the Order of the Phoenix 	2007	-99	1
Harry Potter and the Sorcerer's Stone 	2001	-99	1
Harry Potter and the Prisoner of Azkaban 	2004	-99	1
Havoc		-99	0
He Got Game		-99	1
He's Just Not That Into You		-99	1
Heartbreak Ridge 	1986	-99	1
Heartbreakers		-99	1
Hearts in Atlantis		-99	1
Hearts of Darkness 		-99	1
Heat 	1995	-99	1
Heist		-99	1
Hell or High Water		-99	1
Here Comes The Boom		-99	1
Hidalgo		-99	1
Hidden Figures 	2016	-99	1
High on Crack Street		-99	1
High School		-99	1
Hitch		-99	1
Home 	2015	-99	1
Home Alone 2		-99	1
Home Alone		-99	1
Homefront 	2013	-99	1
Hoosiers		-99	1
Hope Springs		-99	1
