,avg_drop,avg_gross,best_gross,best_movie,best_pcttotal,month,month_name,num_movies,pctyr_totalgross,total_tickets,year
1883,-45.7%,$49.9,$89.3,Taken 3,11.2%,1,JANUARY,16,7.5%,$798.1,2015
1884,-31.8%,$92.4,$750.2,Star Wars: The Force Awakens,62.5%,2,DECEMBER,13,11.3%,"$1,201.3",2015
1885,-48.2%,$66.0,$274.6,The Hunger Games: Mockingjay - Part 2,27.8%,2,NOVEMBER,15,9.3%,$989.4,2015
1886,-54.1%,$30.6,$226.0,The Martian,36.9%,2,OCTOBER,20,5.8%,$612.6,2015
1887,-52.2%,$42.2,$168.8,Hotel Transylvania 2,26.7%,2,SEPTEMBER,15,6.0%,$633.1,2015
1888,-46.7%,$37.3,$161.2,Straight Outta Compton,30.9%,2,AUGUST,14,4.9%,$521.6,2015
1889,-47.9%,$84.0,$336.0,Minions,26.7%,2,JULY,15,11.9%,"$1,259.9",2015
1890,-51.0%,$150.9,$652.3,Jurassic World,48.0%,2,JUNE,9,12.8%,"$1,358.3",2015
1891,-59.3%,$105.6,$459.0,Avengers: Age of Ultron,39.5%,2,MAY,11,10.9%,"$1,162.1",2015
1892,-44.1%,$45.6,$353.0,Furious 7,55.3%,2,APRIL,14,6.0%,$638.0,2015
1893,-49.3%,$67.2,$201.2,Cinderella,27.2%,2,MARCH,11,7.0%,$738.8,2015
1894,-41.4%,$64.7,$166.2,Fifty Shades of Grey,23.4%,2,FEBRUARY,11,6.7%,$711.3,2015
1895,-45.7%,$49.9,$89.3,Taken 3,11.2%,2,JANUARY,16,7.5%,$798.1,2015
1896,-31.8%,$92.4,$750.2,Star Wars: The Force Awakens,62.5%,3,DECEMBER,13,11.3%,"$1,201.3",2015
1897,-48.2%,$66.0,$274.6,The Hunger Games: Mockingjay - Part 2,27.8%,3,NOVEMBER,15,9.3%,$989.4,2015
1898,-54.1%,$30.6,$226.0,The Martian,36.9%,3,OCTOBER,20,5.8%,$612.6,2015
1899,-52.2%,$42.2,$168.8,Hotel Transylvania 2,26.7%,3,SEPTEMBER,15,6.0%,$633.1,2015
1900,-46.7%,$37.3,$161.2,Straight Outta Compton,30.9%,3,AUGUST,14,4.9%,$521.6,2015
1901,-47.9%,$84.0,$336.0,Minions,26.7%,3,JULY,15,11.9%,"$1,259.9",2015
1902,-51.0%,$150.9,$652.3,Jurassic World,48.0%,3,JUNE,9,12.8%,"$1,358.3",2015
1903,-59.3%,$105.6,$459.0,Avengers: Age of Ultron,39.5%,3,MAY,11,10.9%,"$1,162.1",2015
1904,-44.1%,$45.6,$353.0,Furious 7,55.3%,3,APRIL,14,6.0%,$638.0,2015
1905,-49.3%,$67.2,$201.2,Cinderella,27.2%,3,MARCH,11,7.0%,$738.8,2015
1906,-41.4%,$64.7,$166.2,Fifty Shades of Grey,23.4%,3,FEBRUARY,11,6.7%,$711.3,2015
1907,-45.7%,$49.9,$89.3,Taken 3,11.2%,3,JANUARY,16,7.5%,$798.1,2015
