,month,season,year,rank,movie_title,prodco,total_gross,numtheaters,open_tickets,opentheaters,startdate,enddate
290,12,Winter,2003,1,The Lord of the Rings: The Return of the King,NL,"$377,027,325","3,703","$72,629,713","3,703",12/17,6/3
291,12,Winter,2003,2,Cheaper by the Dozen,Fox,"$138,614,544","3,307","$27,557,647","3,298",12/25,6/6
292,12,Winter,2003,3,Something's Gotta Give,Sony,"$124,728,738","2,876","$16,064,723","2,677",12/12,4/29
293,12,Winter,2003,4,The Last Samurai,WB,"$111,127,263","2,938","$24,271,354","2,908",12/5,4/8
294,12,Winter,2003,5,Cold Mountain,Mira.,"$95,636,509","2,802","$14,574,213","2,163",12/25,7/1
295,12,Winter,2003,6,Mona Lisa Smile,SonR,"$63,860,942","2,714","$11,528,498","2,677",12/19,3/11
296,12,Winter,2003,7,Paycheck,Par.,"$53,790,451","2,762","$13,462,374","2,762",12/25,4/1
297,12,Winter,2003,8,Peter Pan,Uni.,"$48,462,608","2,813","$11,139,495","2,813",12/25,4/1
298,12,Winter,2003,9,Stuck on You,Fox,"$33,832,741","3,007","$9,411,055","3,003",12/12,3/18
299,12,Winter,2003,10,Honey,Uni.,"$30,308,417","1,972","$12,856,040","1,942",12/5,2/26
300,12,Winter,2003,11,Love Don't Cost a Thing,WB,"$21,924,226","1,844","$6,315,311","1,844",12/12,3/11
301,1,Winter,2004,1,Along Came Polly,Uni.,"$88,097,164","3,052","$27,721,185","2,984",1/16,6/10
302,1,Winter,2004,2,Big Fish,Sony,"$66,809,693","2,514","$207,377",6,1/9,5/20
303,1,Winter,2004,3,The Butterfly Effect,NL,"$57,938,693","2,605","$17,065,227","2,605",1/23,5/20
304,1,Winter,2004,4,You Got Served,SGem,"$40,363,810","1,943","$16,123,105","1,933",1/30,5/13
305,1,Winter,2004,5,Monster,NM,"$34,469,210","1,093","$86,831",4,1/30,6/3
306,1,Winter,2004,6,Calendar Girls,BV,"$31,041,759",967,"$151,393",24,1/2,4/15
307,1,Winter,2004,7,Torque,WB,"$21,215,059","2,463","$9,970,557","2,463",1/16,4/8
308,1,Winter,2004,8,My Baby's Daddy,Mira.,"$17,669,317","1,448","$7,548,819","1,447",1/9,5/6
309,1,Winter,2004,9,Win a Date with Tad Hamilton!,DW,"$17,071,962","2,808","$7,320,066","2,711",1/23,4/2
310,1,Winter,2004,10,Chasing Liberty,WB,"$12,195,626","2,400","$6,081,483","2,400",1/9,3/4
311,1,Winter,2004,11,The Perfect Score,Par.,"$10,391,003","2,208","$4,873,819","2,208",1/30,4/1
312,1,Winter,2004,12,Teacher's Pet,BV,"$6,491,969","2,027","$2,461,252","2,027",1/16,4/8
313,1,Winter,2004,13,The Big Bounce,WB,"$6,489,476","2,304","$3,336,374","2,304",1/30,3/18
314,2,Spring,2004,1,The Passion of the Christ,NM,"$370,274,604","3,408","$83,848,082","3,043",2/25,7/29
315,2,Spring,2004,2,50 First Dates,Sony,"$120,908,074","3,612","$39,852,237","3,591",2/13,7/8
316,2,Spring,2004,3,Barbershop 2: Back in Business,MGM,"$65,111,277","2,711","$24,241,612","2,711",2/6,6/10
317,2,Spring,2004,4,Miracle,BV,"$64,378,093","2,755","$19,377,577","2,605",2/6,5/6
318,2,Spring,2004,5,Confessions of a Teenage Drama Queen,BV,"$29,331,068","2,503","$9,350,572","2,503",2/20,5/20
319,2,Spring,2004,6,Twisted,Par.,"$25,198,598","2,704","$8,904,299","2,703",2/27,5/27
320,2,Spring,2004,7,Eurotrip,DW,"$17,771,387","2,544","$6,711,384","2,512",2/20,4/1
321,2,Spring,2004,8,Catch That Kid,Fox,"$16,703,799","2,848","$5,824,860","2,847",2/6,5/13
322,2,Spring,2004,9,Welcome to Mooseport,Fox,"$14,470,947","2,868","$6,775,132","2,868",2/20,5/13
323,2,Spring,2004,10,Dirty Dancing: Havana Nights,Lions,"$14,161,590","2,042","$5,811,325","2,042",2/27,4/22
324,2,Spring,2004,11,Against the Ropes,Par.,"$5,884,190","1,601","$3,038,546","1,601",2/20,4/8
325,2,Spring,2004,12,Club Dread,FoxS,"$5,001,708","1,807","$3,035,688","1,807",2/27,5/27
326,3,Spring,2004,1,Starsky and Hutch,WB,"$88,237,754","3,185","$28,103,367","3,185",3/5,7/15
327,3,Spring,2004,2,Scooby-Doo 2: Monsters Unleashed,WB,"$84,216,833","3,312","$29,438,331","3,312",3/26,8/26
328,3,Spring,2004,3,Hidalgo,BV,"$67,303,450","3,065","$18,829,435","3,063",3/5,7/22
329,3,Spring,2004,4,Dawn of the Dead,Uni.,"$59,020,957","2,748","$26,722,575","2,745",3/19,6/17
330,3,Spring,2004,5,Secret Window,Sony,"$48,022,900","3,018","$18,237,568","3,018",3/12,6/3
331,3,Spring,2004,6,The Ladykillers,BV,"$39,799,191","1,589","$12,634,563","1,583",3/26,7/15
332,3,Spring,2004,7,Eternal Sunshine of the Spotless Mind,Focus,"$34,400,301","1,357","$8,175,198","1,353",3/19,7/29
333,3,Spring,2004,8,Taking Lives,WB,"$32,682,342","2,705","$11,458,465","2,705",3/19,5/31
334,3,Spring,2004,9,Jersey Girl,Mira.,"$25,268,157","1,821","$8,319,171","1,520",3/26,7/1
335,3,Spring,2004,10,Agent Cody Banks 2: Destination London,MGM,"$23,630,159","2,973","$8,014,005","2,973",3/12,5/20
336,3,Spring,2004,11,Never Die Alone,FoxS,"$5,645,298","1,160","$3,089,993","1,160",3/26,6/10
337,3,Spring,2004,12,Spartan,WB,"$4,434,432",832,"$2,011,435",832,3/12,4/15
338,4,Spring,2004,1,Mean Girls,Par.,"$86,058,055","3,054","$24,432,195","2,839",4/30,9/9
339,4,Spring,2004,2,Man on Fire,Fox,"$77,911,774","2,986","$22,751,490","2,980",4/23,9/6
340,4,Spring,2004,3,Kill Bill Vol. 2,Mira.,"$66,208,183","3,073","$25,104,949","2,971",4/16,8/26
341,4,Spring,2004,4,Hellboy,SonR,"$59,623,958","3,043","$23,172,440","3,028",4/2,7/1
342,4,Spring,2004,5,13 Going on 30,SonR,"$57,231,747","3,453","$21,054,283","3,438",4/23,8/19
343,4,Spring,2004,6,Home on the Range,BV,"$50,030,461","3,058","$13,880,771","3,047",4/2,8/26
344,4,Spring,2004,7,Walking Tall,MGM,"$46,437,717","2,836","$15,501,114","2,836",4/2,7/29
345,4,Spring,2004,8,The Punisher,Lions,"$33,810,189","2,649","$13,834,527","2,649",4/16,7/22
346,4,Spring,2004,9,Johnson Family Vacation,FoxS,"$31,203,964","1,326","$9,375,307","1,317",4/7,9/9
347,4,Spring,2004,10,The Prince and Me,Par.,"$28,176,497","2,711","$9,406,378","2,682",4/2,6/24
348,4,Spring,2004,11,Ella Enchanted,Mira.,"$22,918,387","2,149","$6,169,030","1,931",4/9,8/12
349,4,Spring,2004,12,The Alamo (2004),BV,"$22,414,961","2,609","$9,124,701","2,609",4/9,7/22
350,4,Spring,2004,13,Laws of Attraction,NL,"$17,871,255","2,449","$6,728,905","2,449",4/30,6/17
351,4,Spring,2004,14,The Whole Ten Yards,WB,"$16,328,471","2,654","$6,685,381","2,654",4/9,6/27
352,4,Spring,2004,15,The Girl Next Door,Fox,"$14,589,444","2,148","$6,003,806","2,148",4/9,6/27
353,4,Spring,2004,16,Godsend,Lions,"$14,379,751","2,323","$6,800,617","2,323",4/30,7/22
354,4,Spring,2004,17,Envy,DW,"$13,562,325","2,445","$6,160,886","2,445",4/30,6/27
355,4,Spring,2004,18,Connie and Carla,Uni.,"$8,085,771","1,016","$3,254,940","1,014",4/16,6/10
356,4,Spring,2004,19,Bobby Jones: Stroke of Genius,FFn.,"$2,694,071","1,332","$1,233,297","1,332",4/30,6/20
357,5,Summer,2004,1,Shrek 2,DW,"$441,226,247","4,223","$108,037,878","4,163",5/19,11/25
358,5,Summer,2004,2,The Day After Tomorrow,Fox,"$186,740,799","3,444","$68,743,584","3,425",5/28,11/4
359,5,Summer,2004,3,Troy,WB,"$133,378,256","3,411","$46,865,412","3,411",5/14,9/30
360,5,Summer,2004,4,Van Helsing,Uni.,"$120,177,084","3,580","$51,748,040","3,575",5/7,8/26
361,5,Summer,2004,5,Raising Helen,BV,"$37,486,512","2,721","$10,985,597","2,717",5/28,9/9
362,5,Summer,2004,6,Soul Plane,MGM,"$14,190,750","1,566","$5,648,486","1,566",5/28,8/5
363,5,Summer,2004,7,New York Minute,WB,"$14,071,441","3,006","$5,962,106","3,006",5/7,7/1
364,5,Summer,2004,8,Breakin' All the Rules,SGem,"$12,264,319","1,318","$5,088,577","1,318",5/14,7/29
365,6,Summer,2004,1,Spider-Man 2,Sony,"$373,585,825","4,166","$88,156,227","4,152",6/30,12/19
366,6,Summer,2004,2,Harry Potter and the Prisoner of Azkaban,WB,"$249,541,069","3,855","$93,687,367","3,855",6/4,12/19
367,6,Summer,2004,3,Fahrenheit 9/11,Lions,"$119,194,771","2,011","$23,920,637",868,6/25,10/28
368,6,Summer,2004,4,DodgeBall: A True Underdog Story,Fox,"$114,326,736","3,020","$30,070,196","2,694",6/18,11/4
369,6,Summer,2004,5,The Notebook,NL,"$81,001,787","2,323","$13,464,745","2,303",6/25,11/21
370,6,Summer,2004,6,The Terminal,DW,"$77,872,883","2,914","$19,053,199","2,811",6/18,9/9
371,6,Summer,2004,7,Garfield: The Movie,Fox,"$75,369,589","3,150","$21,727,611","3,094",6/11,11/4
372,6,Summer,2004,8,White Chicks,Sony,"$70,831,760","2,800","$19,676,748","2,726",6/23,9/9
373,6,Summer,2004,9,The Stepford Wives,Par.,"$59,484,742","3,057","$21,406,781","3,057",6/11,9/16
374,6,Summer,2004,10,The Chronicles of Riddick,Uni.,"$57,761,012","2,757","$24,289,165","2,757",6/11,8/26
375,6,Summer,2004,11,Around the World in 80 Days,BV,"$24,008,137","2,801","$7,576,132","2,801",6/16,9/16
376,6,Summer,2004,12,Two Brothers,Uni.,"$19,176,754","2,181","$6,144,160","2,175",6/25,9/9
377,7,Summer,2004,1,The Bourne Supremacy,Uni.,"$176,241,941","3,304","$52,521,865","3,165",7/23,12/23
378,7,Summer,2004,2,"I, Robot",Fox,"$144,801,023","3,494","$52,179,887","3,420",7/16,12/30
379,7,Summer,2004,3,The Village,BV,"$114,197,520","3,733","$50,746,142","3,730",7/30,12/2
380,7,Summer,2004,4,Anchorman: The Legend of Ron Burgundy,DW,"$85,288,303","3,104","$28,416,365","3,091",7/9,10/7
381,7,Summer,2004,5,The Manchurian Candidate,Par.,"$65,955,630","2,867","$20,018,620","2,867",7/30,11/18
382,7,Summer,2004,6,King Arthur,BV,"$51,882,244","3,086","$15,193,907","3,086",7/7,10/14
383,7,Summer,2004,7,A Cinderella Story,WB,"$51,438,175","2,625","$13,623,350","2,625",7/16,10/21
384,7,Summer,2004,8,Catwoman,WB,"$40,202,379","3,117","$16,728,411","3,117",7/23,10/20
385,7,Summer,2004,9,Harold and Kumar Go to White Castle,NL,"$18,250,550","2,163","$5,480,378","2,135",7/30,9/16
386,7,Summer,2004,10,Sleepover,MGM,"$9,436,390","2,207","$4,171,226","2,207",7/9,8/26
387,7,Summer,2004,11,Thunderbirds,Uni.,"$6,880,917","2,062","$2,766,810","2,057",7/30,8/26
388,8,Fall,2004,1,Collateral,DW,"$101,005,703","3,205","$24,701,458","3,188",8/6,11/25
389,8,Fall,2004,2,The Princess Diaries 2: Royal Engagement,BV,"$95,170,481","3,490","$22,956,453","3,472",8/11,12/23
390,8,Fall,2004,3,Alien Vs. Predator,Fox,"$80,282,231","3,401","$38,291,056","3,395",8/13,12/2
391,8,Fall,2004,4,Without a Paddle,Par.,"$58,169,327","2,756","$13,528,946","2,730",8/20,1/13
392,8,Fall,2004,5,Hero,Mira.,"$53,710,019","2,175","$18,004,319","2,031",8/27,11/25
393,8,Fall,2004,6,Napoleon Dynamite,FoxS,"$44,540,956","1,027","$116,666",6,8/27,2/6
394,8,Fall,2004,7,Exorcist: The Beginning,WB,"$41,821,986","2,813","$18,054,001","2,803",8/20,11/11
395,8,Fall,2004,8,Anacondas: The Hunt for the Blood Orchid,SGem,"$32,238,923","2,905","$12,812,287","2,905",8/27,11/25
396,8,Fall,2004,9,Open Water,Lions,"$30,610,863","2,709","$1,100,943",47,8/20,10/7
397,8,Fall,2004,10,Garden State,FoxS,"$26,782,316",813,"$201,115",9,8/20,1/27
398,8,Fall,2004,11,Little Black Book,SonR,"$20,698,668","2,445","$7,075,217","2,445",8/6,9/16
399,8,Fall,2004,12,Yu-Gi-Oh! The Movie,WB,"$19,765,868","2,411","$9,485,494","2,411",8/13,11/3
400,8,Fall,2004,13,Super Babies: Baby Geniuses 2,Triu,"$9,219,388","1,276","$3,251,856","1,276",8/27,10/3
401,8,Fall,2004,14,Suspect Zero,Par.,"$8,725,813","1,501","$3,446,375","1,500",8/27,10/21
402,8,Fall,2004,15,Benji Off the Leash,Mul.,"$3,817,362",877,"$1,512,000",877,8/20,12/2
403,9,Fall,2004,1,The Forgotten,SonR,"$67,133,509","3,144","$21,022,111","3,104",9/24,11/21
404,9,Fall,2004,2,Resident Evil: Apocalypse,SGem,"$51,201,453","3,284","$23,036,273","3,284",9/10,11/4
405,9,Fall,2004,3,Sky Captain and the World of Tomorrow,Par.,"$37,762,677","3,170","$15,580,278","3,170",9/17,12/21
406,9,Fall,2004,4,Cellular,NL,"$32,003,620","2,763","$10,100,571","2,749",9/10,12/12
407,9,Fall,2004,5,Mr. 3000,BV,"$21,811,187","2,736","$8,679,028","2,736",9/17,12/23
408,9,Fall,2004,6,Wimbledon,Uni.,"$17,001,133","2,039","$7,118,985","2,034",9/17,11/11
409,9,Fall,2004,7,Vanity Fair,Focus,"$16,136,476","1,054","$4,833,900","1,051",9/1,11/11
410,9,Fall,2004,8,Paparazzi,Fox,"$15,714,234","2,153","$6,146,262","2,115",9/3,11/18
411,9,Fall,2004,9,Shaun of the Dead,Rog.,"$13,542,874",675,"$3,330,781",607,9/24,12/2
412,9,Fall,2004,10,Wicker Park,MGM,"$13,001,257","2,598","$5,467,281","2,598",9/3,10/7
413,9,Fall,2004,11,The Cookout,Lions,"$11,814,019","1,303","$5,000,900","1,303",9/3,11/25
414,9,Fall,2004,12,First Daughter,Fox,"$9,055,921","2,280","$4,002,067","2,260",9/24,12/2
415,9,Fall,2004,13,National Lampoon's Gold Diggers,P&A,"$527,000","1,062","$403,164","1,062",9/17,9/26
416,10,Fall,2004,1,Shark Tale,DW,"$160,861,908","4,070","$47,604,606","4,016",10/1,1/6
417,10,Fall,2004,2,The Grudge,Sony,"$110,359,362","3,348","$39,128,715","3,245",10/22,12/30
418,10,Fall,2004,3,Ray,Uni.,"$75,331,600","2,474","$20,039,730","2,006",10/29,3/17
419,10,Fall,2004,4,Ladder 49,BV,"$74,541,707","3,261","$22,088,204","3,260",10/1,2/24
420,10,Fall,2004,5,Friday Night Lights,Uni.,"$61,255,921","3,004","$20,269,025","2,667",10/8,12/30
421,10,Fall,2004,6,Shall We Dance,Mira.,"$57,890,460","2,542","$11,783,467","1,772",10/15,2/24
422,10,Fall,2004,7,Saw,Lions,"$55,185,045","2,467","$18,276,468","2,315",10/29,12/30
423,10,Fall,2004,8,Taxi,Fox,"$36,611,066","3,001","$12,029,832","3,001",10/6,2/24
424,10,Fall,2004,9,Team America: World Police,Par.,"$32,786,074","2,620","$12,120,358","2,539",10/15,1/13
