,month,season,year,rank,movie_title,prodco,total_tickets,numtheaters,open_tickets,opentheaters,startdate,enddate
1265,10,Fall,2009,10,Astro Boy,Sum.,"2,568,200","3,020","880,800","3,014",10/23,1/21
1266,10,Fall,2009,11,The Invention of Lying,WB,"2,424,600","1,743","923,500","1,707",10/2,12/17
1267,10,Fall,2009,12,Capitalism: A Love Story,Over.,"1,887,600",995,"31,100",4,10/2,12/17
1268,10,Fall,2009,13,Amelia,FoxS,"1,871,700","1,070","513,000",820,10/23,1/14
1269,10,Fall,2009,14,Cirque du Freak: The Vampire's Assistant,Uni.,"1,822,500","2,754","827,000","2,754",10/23,11/26
1270,10,Fall,2009,15,Whip It,FoxS,"1,714,000","1,738","611,100","1,721",10/2,12/10
1271,10,Fall,2009,16,I Hope They Serve Beer in Hell,Free,"187,800",266,"49,200",120,10/16,11/12
1272,11,Winter,2009,1,The Twilight Saga: New Moon,Sum.,"38,910,100","4,124","18,769,900","4,024",11/20,4/1
1273,11,Winter,2009,2,The Blind Side,WB,"33,300,800","3,407","4,483,500","3,110",11/20,6/3
1274,11,Winter,2009,3,2012,Sony,"21,807,000","3,444","8,572,600","3,404",11/13,2/25
1275,11,Winter,2009,4,A Christmas Carol (2009),BV,"18,109,700","3,683","3,948,900","3,683",11/6,2/4
1276,11,Winter,2009,5,Old Dogs,BV,"6,486,900","3,425","2,220,000","3,425",11/25,4/1
1277,11,Winter,2009,6,"Precious: Based on the Novel ""Push"" by Sapphire",LGF,"6,222,400","1,003","246,100",18,11/20,3/18
1278,11,Winter,2009,7,Planet 51,Sony,"5,528,900","3,035","1,614,500","3,035",11/20,3/14
1279,11,Winter,2009,8,Ninja Assassin,WB,"5,005,000","2,503","1,749,800","2,503",11/25,2/11
1280,11,Winter,2009,9,The Men Who Stare at Goats,Over.,"4,258,700","2,453","1,669,700","2,443",11/6,2/4
1281,11,Winter,2009,10,The Fourth Kind,Uni.,"3,348,500","2,530","1,607,200","2,527",11/6,1/7
1282,11,Winter,2009,11,Fantastic Mr. Fox,Fox,"2,746,700","2,304","34,900",4,11/25,4/8
1283,11,Winter,2009,12,The Box,WB,"1,977,800","2,635","994,900","2,635",11/6,1/7
1284,11,Winter,2009,13,Pirate Radio,Focus,"1,053,200",883,"381,700",882,11/13,1/7
1285,12,Winter,2009,1,Avatar,Fox,"95,904,100","3,461","10,121,600","3,452",12/18,8/12
1286,12,Winter,2009,2,Alvin and the Chipmunks: The Squeakquel,Fox,"28,303,900","3,747","6,422,500","3,700",12/23,5/20
1287,12,Winter,2009,3,Sherlock Holmes,WB,"26,866,700","3,626","8,187,200","3,626",12/25,4/29
1288,12,Winter,2009,4,It's Complicated,Uni.,"14,407,500","2,955","2,904,200","2,887",12/25,4/1
1289,12,Winter,2009,5,The Princess and the Frog,BV,"13,559,500","3,475","103,300",2,12/11,4/1
1290,12,Winter,2009,6,Up in the Air,Par.,"10,733,000","2,218","155,200",15,12/23,4/8
1291,12,Winter,2009,7,Invictus,WB,"4,865,800","2,170","1,131,600","2,125",12/11,3/25
1292,12,Winter,2009,8,Did You Hear About the Morgans?,Sony,"3,835,300","2,718","869,500","2,718",12/18,1/24
1293,12,Winter,2009,9,Brothers,LGF,"3,737,800","2,088","1,252,000","2,088",12/4,1/21
1294,12,Winter,2009,10,Nine,Wein.,"2,530,400","1,412","33,800",4,12/25,3/18
1295,12,Winter,2009,11,Armored,SGem,"2,098,300","1,919","855,600","1,915",12/4,1/10
1296,12,Winter,2009,12,Everybody's Fine,Mira.,"1,210,100","2,141","506,200","2,133",12/4,12/24
1297,12,Winter,2009,13,Transylmania,FullC,"52,300","1,007","34,700","1,007",12/4,12/17
1298,1,Winter,2010,1,The Book of Eli,WB,"11,928,900","3,111","4,124,500","3,111",1/15,5/13
1299,1,Winter,2010,2,Tooth Fairy,Fox,"7,550,000","3,345","1,762,300","3,344",1/22,6/24
1300,1,Winter,2010,3,The Lovely Bones,P/DW,"5,550,700","2,638","15,300",3,1/15,3/18
1301,1,Winter,2010,4,Edge of Darkness,WB,"5,448,300","3,066","2,165,300","3,066",1/29,4/8
1302,1,Winter,2010,5,Legion (2010),SGem,"5,052,600","2,476","2,201,500","2,476",1/22,3/21
1303,1,Winter,2010,6,When in Rome,BV,"4,110,800","2,456","1,553,500","2,456",1/29,4/15
1304,1,Winter,2010,7,Daybreakers,LGF,"3,955,500","2,523","1,905,200","2,523",1/8,2/11
1305,1,Winter,2010,8,Leap Year,Uni.,"3,405,900","2,512","1,157,600","2,511",1/8,3/4
1306,1,Winter,2010,9,The Spy Next Door,LGF,"3,057,500","2,924","1,223,400","2,924",1/15,3/4
1307,1,Winter,2010,10,Youth in Revolt,W/Dim.,"1,922,200","1,873","866,500","1,873",1/8,3/25
1308,1,Winter,2010,11,Extraordinary Measures,CBS,"1,585,900","2,549","756,300","2,549",1/22,2/11
1309,1,Winter,2010,12,The Imaginarium of Doctor Parnassus,SPC,"971,000",607,"54,600",48,1/8,5/27
1310,2,Spring,2010,1,Shutter Island,Par.,"16,102,300","3,356","5,165,100","2,991",2/19,6/10
1311,2,Spring,2010,2,Valentine's Day,WB (NL),"13,898,300","3,665","7,076,800","3,665",2/12,5/6
1312,2,Spring,2010,3,Percy Jackson & The Olympians: The Lightning Thief,Fox,"11,165,800","3,396","3,929,100","3,356",2/12,7/1
1313,2,Spring,2010,4,Dear John,SGem,"10,064,800","3,062","3,832,500","2,969",2/5,4/29
1314,2,Spring,2010,5,The Wolfman,Uni.,"7,796,200","3,223","3,959,700","3,222",2/12,4/1
1315,2,Spring,2010,6,Cop Out,WB,"5,644,700","3,150","2,290,700","3,150",2/26,5/20
1316,2,Spring,2010,7,Crazy Heart,FoxS,"4,966,800","1,361","10,900",4,2/5,6/3
1317,2,Spring,2010,8,The Crazies,Over.,"4,921,200","2,479","2,021,100","2,476",2/26,5/20
1318,2,Spring,2010,9,From Paris with Love,LGF,"3,163,900","2,722","1,026,300","2,722",2/5,3/11
1319,2,Spring,2010,10,An Education,SPC,"1,624,500",763,"20,900",4,2/5,5/6
1320,3,Spring,2010,1,Alice in Wonderland (2010),BV,"42,036,600","3,739","14,603,900","3,728",3/5,7/8
1321,3,Spring,2010,2,How to Train Your Dragon,P/DW,"27,368,700","4,060","5,500,900","4,055",3/26,7/22
1322,3,Spring,2010,3,The Bounty Hunter,Sony,"8,435,400","3,118","2,602,100","3,074",3/19,7/8
1323,3,Spring,2010,4,Diary of a Wimpy Kid,Fox,"8,050,800","3,083","2,783,200","3,077",3/19,8/19
1324,3,Spring,2010,5,The Last Song,BV,"7,918,300","2,794","2,013,500","2,673",3/31,7/15
1325,3,Spring,2010,6,Hot Tub Time Machine,MGM,"6,325,500","2,771","1,763,600","2,754",3/26,6/10
1326,3,Spring,2010,7,Green Zone,Uni.,"4,409,300","3,004","1,799,900","3,003",3/12,5/6
1327,3,Spring,2010,8,She's Out of My League,Par.,"4,026,500","2,958","1,229,600","2,956",3/12,5/20
1328,3,Spring,2010,9,Brooklyn's Finest,Over.,"3,416,800","1,939","1,679,300","1,936",3/5,5/20
1329,3,Spring,2010,10,Our Family Wedding,FoxS,"2,547,800","1,609","959,700","1,605",3/12,6/17
1330,3,Spring,2010,11,Remember Me,Sum.,"2,398,500","2,215","1,017,500","2,212",3/12,5/13
1331,3,Spring,2010,12,The Ghost Writer,Sum.,"1,954,900",819,"23,000",4,3/19,6/17
1332,3,Spring,2010,13,Repo Men,Uni.,"1,735,200","2,521","770,600","2,521",3/19,4/22
1333,4,Spring,2010,1,Clash of the Titans (2010),WB,"20,530,200","3,802","7,771,000","3,777",4/2,7/22
1334,4,Spring,2010,2,Date Night,Fox,"12,416,500","3,380","3,198,900","3,374",4/9,9/9
1335,4,Spring,2010,3,A Nightmare on Elm Street (2010),WB (NL),"7,934,000","3,332","4,175,400","3,332",4/30,7/15
1336,4,Spring,2010,4,Tyler Perry's Why Did I Get Married Too?,LGF,"7,559,200","2,155","3,716,900","2,155",4/2,6/10
1337,4,Spring,2010,5,Kick-Ass,LGF,"6,046,700","3,065","2,516,300","3,065",4/16,7/1
1338,4,Spring,2010,6,Death at a Funeral (2010),SGem,"5,376,000","2,459","2,058,100","2,459",4/16,7/8
1339,4,Spring,2010,7,The Back-Up Plan,CBS,"4,715,700","3,280","1,548,400","3,280",4/23,7/22
1340,4,Spring,2010,8,The Losers,WB,"2,967,500","2,936","1,193,700","2,936",4/23,6/24
1341,4,Spring,2010,9,Oceans,BV,"2,443,100","1,232","768,900","1,206",4/22,7/15
1342,4,Spring,2010,10,Furry Vengeance,Sum.,"2,217,700","3,002","841,100","2,997",4/30,7/15
1343,4,Spring,2010,11,Letters to God,Viv.,"358,300",897,"138,200",897,4/9,7/1
1344,5,Summer,2010,1,Iron Man 2,Par.,"39,299,800","4,390","16,259,200","4,380",5/7,8/19
1345,5,Summer,2010,2,Shrek Forever After,P/DW,"30,029,800","4,386","8,989,600","4,359",5/21,9/9
1346,5,Summer,2010,3,Robin Hood,Uni.,"13,241,500","3,505","4,576,600","3,503",5/14,8/5
1347,5,Summer,2010,4,Sex and the City 2,WB (NL),"11,993,400","3,445","3,934,200","3,445",5/27,8/19
1348,5,Summer,2010,5,Prince of Persia: The Sands of Time,BV,"11,416,300","3,646","3,819,200","3,646",5/28,9/23
1349,5,Summer,2010,6,Letters to Juliet,Sum.,"6,670,700","2,975","1,718,300","2,968",5/14,8/26
1350,5,Summer,2010,7,Just Wright,FoxS,"2,709,500","1,831","1,051,400","1,831",5/14,8/5
1351,5,Summer,2010,8,MacGruber,Uni.,"1,072,400","2,551","513,100","2,551",5/21,6/10
